WorkOrderID,Department,Category,Priority,AssignedTeam,CreatedDate,DueDate,CompletedDate,Status,EstimatedHours,ActualHours,Cost
WO-0001,Construction,Installation,High,CON-A,2026-02-27,2026-03-04,2026-03-12,Completed,44,36.1,1985.13
WO-0002,Construction,Installation,Medium,CON-C,2026-06-16,2026-06-26,2026-07-05,Completed,10,12.9,699.66
WO-0003,QA/QC,Test Package,Medium,QA-B,2026-01-27,2026-02-09,2026-02-10,Completed,23,25.3,1220.17
WO-0004,Planning,Schedule Update,Medium,PLAN-B,2026-05-28,2026-06-15,2026-06-17,Completed,13,18.7,1119.18
WO-0005,Procurement,Purchase Review,Medium,PROC-B,2026-02-11,2026-02-23,2026-02-28,Completed,5,6.4,287.52
WO-0006,QA/QC,NCR Review,High,QA-A,2026-02-28,2026-03-10,2026-03-09,Completed,22,30.1,1517.04
WO-0007,Construction,Work Front Preparation,High,CON-C,2026-04-28,2026-05-04,2026-05-10,Completed,44,60.9,3489.35
WO-0008,Engineering,Drawing Revision,Medium,ENG-A,2026-07-13,2026-07-21,2026-07-30,Completed,35,41.6,2539.61
WO-0009,Construction,Work Front Preparation,Medium,CON-C,2026-01-03,2026-01-20,2026-01-31,Completed,31,33.9,2182.17
WO-0010,Procurement,Delivery Tracking,Critical,PROC-A,2026-05-10,2026-05-17,2026-05-23,Completed,9,8.1,415.14
WO-0011,Construction,Installation,Medium,CON-B,2026-01-05,2026-01-17,2026-01-23,Completed,46,51.3,2723.17
WO-0012,Procurement,Vendor Follow-up,Low,PROC-B,2026-05-21,2026-06-05,2026-06-12,Completed,9,12.6,644.81
WO-0013,Construction,Site Rectification,Medium,CON-C,2026-06-16,2026-06-30,2026-07-07,Completed,24,27.8,1659.9
WO-0014,Engineering,Design Review,Medium,ENG-A,2026-03-26,2026-04-10,2026-04-13,Completed,21,24.2,1589.13
WO-0015,Planning,Recovery Planning,Medium,PLAN-B,2026-07-26,2026-08-05,,In Progress,15,9.0,524.9
WO-0016,Construction,Installation,Low,CON-C,2026-03-28,2026-04-10,2026-04-13,Completed,18,17.3,1106.87
WO-0017,QA/QC,Inspection,Low,QA-C,2026-08-03,2026-08-13,2026-08-16,Completed,19,17.8,914.7
WO-0018,Engineering,Material Submittal,Low,ENG-B,2026-03-09,2026-04-02,,In Progress,39,17.6,1214.63
